Percentile,Denmark Threshold (kr),Denmark Average (kr),Europe Threshold (kr),Europe Average (kr)
p0p1,-9258.3013,3665.5103,0.0000,6.1138
p1p2,25871.2726,48927.7843,29.3110,138.1726
p2p3,61707.6561,63434.2302,321.9057,732.4385
p3p4,67780.1833,75744.2086,1295.1307,2260.8992
p4p5,82012.2517,85639.6467,3476.9748,5297.0334
p5p6,89623.7488,94293.7128,7479.1921,10491.3532
p6p7,98627.2092,101959.7124,13933.2253,17429.3417
p7p8,104915.7077,107369.5022,21303.3371,25531.4057
p8p9,109655.0752,111698.5689,28343.5959,30141.2428
p9p10,113659.6981,115536.5154,32188.1664,34392.8091
p10p11,117398.9769,119210.0140,36719.0741,39264.3186
p11p12,120971.7287,122609.5077,41898.5852,44547.9008
p12p13,124188.4295,125706.5773,47069.4690,49260.4507
p13p14,127221.0274,128725.3751,51369.3014,52564.3711
p14p15,130221.8758,131744.6980,53928.3392,55681.2080
p15p16,133293.1090,134822.8126,57502.6078,58647.6441
p16p17,136311.8540,137777.0293,59613.3219,60869.4148
p17p18,139266.5750,140781.6395,62072.4624,63313.7288
p18p19,142281.9072,143730.2423,64545.9171,65717.6914
p19p20,145157.0278,146585.2193,66878.2417,68025.0558
p20p21,148033.4213,149509.9531,69172.9671,70388.6670
p21p22,150984.3732,152425.6022,71651.3037,72982.1590
p22p23,153846.1631,155262.4982,74339.0679,75752.9527
p23p24,156697.0973,158171.0174,77166.4001,78599.5575
p24p25,159658.0734,161156.5989,80048.7816,81495.0733
p25p26,162648.0407,164076.7104,82935.8843,84351.4607
p26p27,165465.2624,166855.4560,85739.5060,87085.5710
p27p28,168279.8441,169696.8717,88418.5611,89740.2014
p28p29,171064.9355,172364.2891,91051.7930,92323.9109
p29p30,173659.0508,174943.5480,93591.0688,94863.6010
p30p31,176212.2836,177454.5951,96127.6354,97361.7168
p31p32,178695.8451,179969.2298,98580.8080,99771.7940
p32p33,181264.7510,182555.1515,100953.4281,102110.9501
p33p34,183822.8241,185092.5766,103268.0644,104412.1999
p34p35,186393.0734,187748.2417,105553.5422,106718.3414
p35p36,189119.7779,190540.1543,107911.3424,109167.5470
p36p37,191996.3848,193517.7743,110445.0757,111756.1473
p37p38,195066.3222,196683.8718,113076.7752,114389.9906
p38p39,198348.3895,200123.1069,115697.4686,117021.3889
p39p40,201948.2654,203813.5053,118357.0919,119680.9102
p40p41,205674.9038,207564.6642,120999.8102,122292.7435
p41p42,209486.0186,211414.4648,123567.9983,124817.7602
p42p43,213320.7731,215243.9395,126060.8119,127302.4256
p43p44,217205.8044,219176.1106,128548.4973,129802.9873
p44p45,221107.6506,222985.5948,131063.0606,132351.2369
p45p46,224871.1286,226819.9106,133648.0867,134945.9518
p46p47,228800.5862,230761.3546,136233.5345,137506.4290
p47p48,232681.9309,234603.6177,138790.3170,140077.9109
p48p49,236566.7249,238539.3021,141359.1731,142634.7202
p49p50,240472.2331,242375.8925,143926.2134,145242.8848
